MapChart_ID,Municipio_Nombre,Estado_Sufijo,CVE_ENT,Nom_Limpio,CVEGEO
Guadalajara_JAL,Guadalajara,JAL,14,GUADALAJARA,14039
Tonalá_JAL,Tonalá,JAL,14,TONALA,14101
Zapotlanejo_JAL,Zapotlanejo,JAL,14,ZAPOTLANEJO,14124
Acatic_JAL,Acatic,JAL,14,ACATIC,14001
Tepatitlán_de_Morelos_JAL,Tepatitlán de Morelos,JAL,14,TEPATITLAN DE MORELOS,14093
San_Juan_de_los_Lagos_JAL,San Juan de los Lagos,JAL,14,SAN JUAN DE LOS LAGOS,14073
Lagos_de_Moreno_JAL,Lagos de Moreno,JAL,14,LAGOS DE MORENO,14053
Jalostotitlán_JAL,Jalostotitlán,JAL,14,JALOSTOTITLAN,14046
San_Miguel_el_Alto_JAL,San Miguel el Alto,JAL,14,SAN MIGUEL EL ALTO,14078
Valle_de_Guadalupe_JAL,Valle de Guadalupe,JAL,14,VALLE DE GUADALUPE,14111
Unión_de_San_Antonio_JAL,Unión de San Antonio,JAL,14,UNION DE SAN ANTONIO,14109
Encarnación_de_Díaz_JAL,Encarnación de Díaz,JAL,14,ENCARNACION DE DIAZ,14035
León_GUA,León,GUA,11,LEON,11020
Silao_de_la_Victoria_GUA,Silao de la Victoria,GUA,11,SILAO DE LA VICTORIA,11037
Irapuato_GUA,Irapuato,GUA,11,IRAPUATO,11017
Salamanca_GUA,Salamanca,GUA,11,SALAMANCA,11027
Villagrán_GUA,Villagrán,GUA,11,VILLAGRAN,11044
Cortazar_GUA,Cortazar,GUA,11,CORTAZAR,11011
Celaya_GUA,Celaya,GUA,11,CELAYA,11007
Apaseo_el_Grande_GUA,Apaseo el Grande,GUA,11,APASEO EL GRANDE,11005
Apaseo_el_Alto_GUA,Apaseo el Alto,GUA,11,APASEO EL ALTO,11004
Corregidora_QUE,Corregidora,QUE,22,CORREGIDORA,22006
Huimilpan_QUE,Huimilpan,QUE,22,HUIMILPAN,22008
Amealco_de_Bonfil_QUE,Amealco de Bonfil,QUE,22,AMEALCO DE BONFIL,22001
San_Juan_del_Río_QUE,San Juan del Río,QUE,22,SAN JUAN DEL RIO,22016
Nopala_de_Villagrán_HID,Nopala de Villagrán,HID,13,NOPALA DE VILLAGRAN,13044
Tepeji_del_Río_de_Ocampo_HID,Tepeji del Río de Ocampo,HID,13,TEPEJI DEL RIO DE OCAMPO,13063
Tula_de_Allende_HID,Tula de Allende,HID,13,TULA DE ALLENDE,13076
Atotonilco_de_Tula_HID,Atotonilco de Tula,HID,13,ATOTONILCO DE TULA,13013
Tolcayuca_HID,Tolcayuca,HID,13,TOLCAYUCA,13075
Villa_de_Tezontepec_HID,Villa de Tezontepec,HID,13,VILLA DE TEZONTEPEC,13066
Zapotlán_de_Juárez_HID,Zapotlán de Juárez,HID,13,ZAPOTLAN DE JUAREZ,13082
Tlanalapa_HID,Tlanalapa,HID,13,TLANALAPA,13072
Emiliano_Zapata_HID,Emiliano Zapata,HID,13,EMILIANO ZAPATA,13021
Tequixquiac_MEX,Tequixquiac,MEX,15,TEQUIXQUIAC,15096
Hueypoxtla_MEX,Hueypoxtla,MEX,15,HUEYPOXTLA,15036
Axapusco_MEX,Axapusco,MEX,15,AXAPUSCO,15016
Otumba_MEX,Otumba,MEX,15,OTUMBA,15065
Calpulalpan_TLA,Calpulalpan,TLA,29,CALPULALPAN,29006
Nanacamilpa_de_Mariano_Arista_TLA,Nanacamilpa de Mariano Arista,TLA,29,NANACAMILPA DE MARIANO ARISTA,29021
Natívitas_TLA,Natívitas,TLA,29,NATIVITAS,29023
Tepetitla_de_Lardizábal_TLA,Tepetitla de Lardizábal,TLA,29,TEPETITLA DE LARDIZABAL,29019
San_Martín_Texmelucan_PUE,San Martín Texmelucan,PUE,21,SAN MARTIN TEXMELUCAN,21132
Huejotzingo_PUE,Huejotzingo,PUE,21,HUEJOTZINGO,21074
Juan_C_Bonilla_PUE,Juan C Bonilla,PUE,21,JUAN C BONILLA,
San_Pedro_Cholula_PUE,San Pedro Cholula,PUE,21,SAN PEDRO CHOLULA,21140
Cuautlancingo_PUE,Cuautlancingo,PUE,21,CUAUTLANCINGO,21041
Puebla_PUE,Puebla,PUE,21,PUEBLA,21114
Amozoc_PUE,Amozoc,PUE,21,AMOZOC,21015
Tepatlaxco_de_Hidalgo_PUE,Tepatlaxco de Hidalgo,PUE,21,TEPATLAXCO DE HIDALGO,21163
Acajete_PUE,Acajete,PUE,21,ACAJETE,21001
Nopalucan_PUE,Nopalucan,PUE,21,NOPALUCAN,21104
San_José_Chiapa_PUE,San José Chiapa,PUE,21,SAN JOSE CHIAPA,21128
Oriental_PUE,Oriental,PUE,21,ORIENTAL,21108
Tepeyahualco_PUE,Tepeyahualco,PUE,21,TEPEYAHUALCO,21170
Perote_VER,Perote,VER,30,PEROTE,30128
Villa_Aldama_VER,Villa Aldama,VER,30,VILLA ALDAMA,30194
Las_Vigas_de_Ramírez_VER,Las Vigas de Ramírez,VER,30,LAS VIGAS DE RAMIREZ,30132
Acajete_VER,Acajete,VER,30,ACAJETE,30001
Xalapa_VER,Xalapa,VER,30,XALAPA,30087
Emiliano_Zapata_VER,Emiliano Zapata,VER,30,EMILIANO ZAPATA,30065
La_Antigua_VER,La Antigua,VER,30,LA ANTIGUA,30016
Veracruz_VER,Veracruz,VER,30,VERACRUZ,30193
Medellín_VER,Medellín,VER,30,MEDELLIN,
Boca_del_Río_VER,Boca del Río,VER,30,BOCA DEL RIO,30028
Puente_Nacional_VER,Puente Nacional,VER,30,PUENTE NACIONAL,30134
Jamapa_VER,Jamapa,VER,30,JAMAPA,30090
Cotaxtla_VER,Cotaxtla,VER,30,COTAXTLA,30049
Cuitláhuac_VER,Cuitláhuac,VER,30,CUITLAHUAC,30053
Carrillo_Puerto_VER,Carrillo Puerto,VER,30,CARRILLO PUERTO,30031
Tierra_Blanca_VER,Tierra Blanca,VER,30,TIERRA BLANCA,30174
Isla_VER,Isla,VER,30,ISLA,30077
José_Azueta_VER,José Azueta,VER,30,JOSE AZUETA,30169
Chacaltianguis_VER,Chacaltianguis,VER,30,CHACALTIANGUIS,30054
Juan_Rodríguez_Clara_VER,Juan Rodríguez Clara,VER,30,JUAN RODRIGUEZ CLARA,30094
San_Juan_Evangelista_VER,San Juan Evangelista,VER,30,SAN JUAN EVANGELISTA,30142
Acayucan_VER,Acayucan,VER,30,ACAYUCAN,30003
